Pokedex Number,Pokemon Id,Pokemon Name,Classification,Alternate Form Name,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type
1,1,"""Bulbasaur""","""Seed Pokémon""",NULL,NULL,0.7,6.9,"""Grass""","""Poison"""
2,2,"""Ivysaur""","""Seed Pokémon""",NULL,NULL,1,13,"""Grass""","""Poison"""
3,3,"""Venusaur""","""Seed Pokémon""",NULL,NULL,2,100,"""Grass""","""Poison"""
3,4,"""Venusaur""","""Seed Pokémon""","""Mega""",NULL,2.4,155.5,"""Grass""","""Poison"""
3,1526,"""Venusaur""","""Seed Pokémon""","""Gigantamax""",NULL,24,0,"""Grass""","""Poison"""
4,5,"""Charmander""","""Lizard Pokémon""",NULL,NULL,0.6,8.5,"""Fire""",NULL
5,6,"""Charmeleon""","""Flame Pokémon""",NULL,NULL,1.1,19,"""Fire""",NULL
6,7,"""Charizard""","""Flame Pokémon""",NULL,NULL,1.7,90.5,"""Fire""","""Flying"""
6,8,"""Charizard""","""Flame Pokémon""","""Mega X""",NULL,1.7,110.5,"""Fire""","""Dragon"""
6,9,"""Charizard""","""Flame Pokémon""","""Mega Y""",NULL,1.7,100.5,"""Fire""","""Flying"""
6,1522,"""Charizard""","""Flame Pokémon""","""Gigantamax""",NULL,28,0,"""Fire""","""Flying"""
7,10,"""Squirtle""","""Tiny Turtle Pokémon""",NULL,NULL,0.5,9,"""Water""",NULL
8,11,"""Wartortle""","""Turtle Pokémon""",NULL,NULL,1,22.5,"""Water""",NULL
9,12,"""Blastoise""","""Shellfish Pokémon""",NULL,NULL,1.6,85.5,"""Water""",NULL
9,13,"""Blastoise""","""Shellfish Pokémon""","""Mega""",NULL,1.6,101.1,"""Water""",NULL
9,1525,"""Blastoise""","""Shellfish Pokémon""","""Gigantamax""",NULL,25,0,"""Water""",NULL
10,32,"""Caterpie""","""Worm Pokémon""",NULL,NULL,0.3,2.9,"""Bug""",NULL
11,23,"""Metapod""","""Cocoon Pokémon""",NULL,NULL,0.7,9.9,"""Bug""",NULL
12,24,"""Butterfree""","""Butterfly Pokémon""",NULL,NULL,1.1,32,"""Bug""","""Flying"""
12,1521,"""Butterfree""","""Butterfly Pokémon""","""Gigantamax""",NULL,17,0,"""Bug""","""Flying"""
